Job_Title,Job_Type,Salary,Job_Skill,Gaji_Perbulan
procurement executive (contract),Contract,"USD 45,000 - 90,750 / YEARLY",Communication,"3,750 - 7,562"
account executive/ assistant,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
"data analyst - asset management, spx express",Full-time,"USD 60,000 - 90,000 / YEARLY",Data Analysis,"5,000 - 7,500"
service engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",React,"5,833 - 8,750"
purchasing executive,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
accounts executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
accounts executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
accounts assistant (ap),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
admin assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
clerical assistant (educational centre),Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
finance executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
purchasing assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
penetration tester,Full-time,"USD 45,000 - 82,500 / YEARLY","SQL, Excel, Java","3,750 - 6,875"
hr & admin executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
audit assistant,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
admin cum hr executive,Full-time,"USD 30,000 - 50,000 / YEARLY",Excel,"2,500 - 4,167"
key account executive (chemistry/oil & gas),Full-time,"USD 50,000 - 75,000 / YEARLY",Communication,"4,167 - 6,250"
operations engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Python,"5,833 - 8,750"
assistant human capital manager/ senior human capital executive,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
invoicing assistant,Full-time,"USD 30,000 - 50,000 / YEARLY",Communication,"2,500 - 4,167"
account cum admin executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
software qa analyst (manual testing),Full-time,"USD 60,000 - 90,000 / YEARLY",Excel,"5,000 - 7,500"
audit associate,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
business executive (work from home),Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
mechanical design engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
graduate engineer (civil and structural),Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
finance specialist/senior account executive,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
admin. & accounts clerk,Full-time,"USD 50,000 - 75,000 / YEARLY",Excel,"4,167 - 6,250"
engineer,Full-time,"USD 70,000 - 105,000 / YEARLY",Excel,"5,833 - 8,750"
hr & admin manager,Full-time,"USD 75,000 - 100,000 / YEARLY",Excel,"6,250 - 8,333"
it qa analyst,Full-time,"USD 60,000 - 90,000 / YEARLY",SQL,"5,000 - 7,500"
personal assistant for project manager,Contract,"USD 75,000 - 110,000 / YEARLY",Excel,"6,250 - 9,167"
internal audit executive / senior executive,Internship,"USD 18,000 - 24,000 / YEARLY",Excel,"1,500 - 2,000"
associate data engineer (hybrid working),Full-time,"USD 60,000 - 90,000 / YEARLY",SQL,"5,000 - 7,500"
executive of international student office,Internship,"USD 18,000 - 24,000 / YEARLY",Communication,"1,500 - 2,000"
customer service representative,Full-time,"USD 45,000 - 82,500 / YEARLY",Excel,"3,750 - 6,875"
audit and tax assistant (fresh graduates),Full-time,"USD 70,000 - 105,000 / YEARLY",Communication,"5,833 - 8,750"
planner controller,Full-time,"USD 45,000 - 82,500 / YEARLY",Communication,"3,750 - 6,875"
office services assistant (6 months contract),Contract,"USD 30,000 - 55,000 / YEARLY",Excel,"2,500 - 4,583"
