category,count_A,count_B,selisih_B_minus_A,persentase_A,persentase_B,selisih_persentase,abs_selisih
administration,0,13413,13413,0.0,32.23,32.23,13413
technical_support,0,3342,3342,0.0,8.03,8.03,3342
management,1613,3294,1681,3.88,7.91,4.03,1681
procurement,0,1460,1460,0.0,3.51,3.51,1460
sales,3085,4325,1240,7.41,10.39,2.98,1240
internship,462,1659,1197,1.11,3.99,2.88,1197
hr_recruitment,999,2067,1068,2.4,4.97,2.57,1068
software_dev,952,1470,518,2.29,3.53,1.24,518
customer_service,1471,1989,518,3.53,4.78,1.25,518
cloud_devops,22,347,325,0.05,0.83,0.78,325
design_uiux,0,308,308,0.0,0.74,0.74,308
frontend_dev,355,403,48,0.85,0.97,0.12,48
mobile_dev,54,70,16,0.13,0.17,0.04,16
network_security,569,419,-150,1.37,1.01,-0.36,150
backend_dev,1032,849,-183,2.48,2.04,-0.44,183
digital_marketing,1505,1285,-220,3.62,3.09,-0.53,220
finance_accounting,3807,3501,-306,9.15,8.41,-0.74,306
general_analyst,337,0,-337,0.81,0.0,-0.81,337
data_science_ai,2334,186,-2148,5.61,0.45,-5.16,2148
general_engineer,2267,0,-2267,5.45,0.0,-5.45,2267
admin,2739,0,-2739,6.58,0.0,-6.58,2739
general_role,7881,0,-7881,18.94,0.0,-18.94,7881
data_analyst_bi,10134,1231,-8903,24.35,2.96,-21.39,8903
